ACCOUNTID,METODO_DE_PAGO,FECHA_COMPRA,SUCURSAL,DESCUENTO,MONTO_PAGADO,TIPO_ARTICULO,CANTIDAD_ARTICULO,MARGEN,SECTOR,VALOR_ARTICULO
3007,EFECTIVO,2019-11-04,12483,2000,53400,3. Calidad Alta,1,11280,8,55400
3009,EFECTIVO,2019-11-04,12483,2000,53300,3. Calidad Alta,1,11250,8,55300
3069,EFECTIVO,2019-11-05,5114,2000,37800,3. Calidad Alta,1,6730,17,39800
3091,EFECTIVO,2019-11-05,11703,2000,47400,3. Calidad Alta,1,7400,5,49400
3094,EFECTIVO,2019-11-05,11703,1500,30800,2. Calidad Media,1,6310,5,32300
3102,EFECTIVO,2019-11-05,12484,1500,33600,2. Calidad Media,1,5810,8,35100
3104,EFECTIVO,2019-11-05,12484,1500,35900,2. Calidad Media,1,7090,8,37400
3104,EFECTIVO,2019-11-05,12484,2000,40300,3. Calidad Alta,1,7570,8,42300
2999,EFECTIVO,2019-11-05,12483,2000,44400,3. Calidad Alta,1,9370,8,46400
3112,EFECTIVO,2019-11-05,11703,2000,41600,3. Calidad Alta,1,6490,5,43600
3112,EFECTIVO,2019-11-05,11703,2000,47600,3. Calidad Alta,1,7430,5,49600
3004,EFECTIVO,2019-11-05,11703,2000,47300,3. Calidad Alta,1,7380,5,49300
3004,EFECTIVO,2019-11-05,11703,2000,42700,3. Calidad Alta,1,6660,5,44700
3014,EFECTIVO,2019-11-05,12483,3000,114500,4. Calidad Premium,1,13280,8,117500
3014,EFECTIVO,2019-11-05,12483,3000,123900,4. Calidad Premium,1,14370,8,126900
3126,EFECTIVO,2019-11-05,5114,2000,43900,3. Calidad Alta,1,7820,17,45900
3029,EFECTIVO,2019-11-05,12438,2000,38000,3. Calidad Alta,1,8020,7,40000
3034,EFECTIVO,2019-11-05,12484,1500,36500,2. Calidad Media,1,7210,8,38000
3037,EFECTIVO,2019-11-05,10922,2000,38000,3. Calidad Alta,1,5780,3,40000
3178,EFECTIVO,2019-11-05,11783,2000,46200,3. Calidad Alta,1,7210,5,48200
3034,EFECTIVO,2019-11-05,12484,1500,34300,2. Calidad Media,1,6780,8,35800
3034,EFECTIVO,2019-11-05,12484,1500,37900,2. Calidad Media,1,7490,8,39400
3041,EFECTIVO,2019-11-05,12483,2000,40000,3. Calidad Alta,1,8450,8,42000
3197,EFECTIVO,2019-11-05,12483,2000,40600,3. Calidad Alta,1,7630,8,42600
3043,EFECTIVO,2019-11-05,10927,2000,54000,3. Calidad Alta,1,8220,3,56000
3193,EFECTIVO,2019-11-05,11783,1500,37500,2. Calidad Media,1,7680,5,39000
3287,EFECTIVO,2019-11-06,11783,1500,34400,2. Calidad Media,1,7320,5,35900
3129,EFECTIVO,2019-11-06,11783,2000,41700,3. Calidad Alta,1,6910,5,43700
3146,EFECTIVO,2019-11-06,10897,1500,65800,2. Calidad Media,2,5900,2,34400
3154,EFECTIVO,2019-11-06,10927,1500,41300,2. Calidad Media,1,9000,3,42800
3153,EFECTIVO,2019-11-06,12438,1500,35900,2. Calidad Media,1,7240,7,37400
3163,EFECTIVO,2019-11-06,12484,1500,36400,2. Calidad Media,1,7340,8,37900
3163,EFECTIVO,2019-11-06,12484,2000,48000,3. Calidad Alta,1,10280,8,50000
3188,EFECTIVO,2019-11-06,10927,2000,42100,3. Calidad Alta,1,6540,3,44100
3202,EFECTIVO,2019-11-06,10823,1500,44700,2. Calidad Media,1,8470,2,46200
3206,EFECTIVO,2019-11-06,12483,3000,118500,4. Calidad Premium,1,12500,8,121500
3202,EFECTIVO,2019-11-06,10823,2000,39300,3. Calidad Alta,1,6390,2,41300
3210,EFECTIVO,2019-11-06,10927,2000,45400,3. Calidad Alta,1,7050,3,47400
3217,EFECTIVO,2019-11-06,12483,2000,41300,3. Calidad Alta,1,8840,8,43300
3224,EFECTIVO,2019-11-06,10927,2000,41800,3. Calidad Alta,1,6490,3,43800
3242,EFECTIVO,2019-11-06,12331,1500,38200,2. Calidad Media,1,7610,7,39700
3243,EFECTIVO,2019-11-06,12438,2000,41200,3. Calidad Alta,1,8820,7,43200
3245,EFECTIVO,2019-11-06,12483,2000,44000,3. Calidad Alta,1,9420,8,46000
3246,EFECTIVO,2019-11-06,12484,2000,45300,3. Calidad Alta,1,9700,8,47300
3249,EFECTIVO,2019-11-06,10927,2000,35000,3. Calidad Alta,1,5430,3,37000
3255,EFECTIVO,2019-11-06,10823,2000,51900,3. Calidad Alta,1,8440,2,53900
3249,EFECTIVO,2019-11-06,10927,1500,38300,2. Calidad Media,1,8350,3,39800
3258,EFECTIVO,2019-11-06,10927,2000,34400,3. Calidad Alta,1,5340,3,36400
3260,EFECTIVO,2019-11-06,12612,2000,50100,3. Calidad Alta,1,8040,9,52100
3261,EFECTIVO,2019-11-06,12612,2000,31900,3. Calidad Alta,1,5120,9,33900
3275,EFECTIVO,2019-11-06,10920,2000,46900,3. Calidad Alta,1,7280,2,48900
3268,EFECTIVO,2019-11-06,12439,1500,35700,2. Calidad Media,1,7200,7,37200
3288,EFECTIVO,2019-11-06,10823,1500,32700,2. Calidad Media,1,6200,2,34200
3288,EFECTIVO,2019-11-06,10823,3000,119700,4. Calidad Premium,1,12880,2,122700
3289,EFECTIVO,2019-11-06,12438,2300,41800,3. Calidad Alta,1,9000,7,44100
3293,EFECTIVO,2019-11-06,10823,1500,68800,2. Calidad Media,2,6170,2,35900
3294,EFECTIVO,2019-11-06,10927,1500,35200,2. Calidad Media,1,7670,3,36700
3310,EFECTIVO,2019-11-06,12484,1500,38800,2. Calidad Media,1,7820,8,40300
2928,EFECTIVO,2019-11-06,10922,2000,57400,3. Calidad Alta,1,8910,3,59400
3318,EFECTIVO,2019-11-06,10920,3000,118800,4. Calidad Premium,1,12890,2,121800
3318,EFECTIVO,2019-11-06,10920,3000,117300,4. Calidad Premium,1,12730,2,120300
3328,EFECTIVO,2019-11-06,10927,2000,40200,3. Calidad Alta,1,6240,3,42200
3335,EFECTIVO,2019-11-06,12483,2100,39100,3. Calidad Alta,1,8400,8,41200
3336,EFECTIVO,2019-11-06,12483,2100,43300,3. Calidad Alta,1,9300,8,45400
3460,EFECTIVO,2019-11-07,12483,2000,45900,3. Calidad Alta,1,9830,8,47900
3340,EFECTIVO,2019-11-07,12483,2000,28200,2. Calidad Media,1,5780,8,30200
3372,EFECTIVO,2019-11-07,11783,3000,107200,4. Calidad Premium,1,11210,5,110200
3394,EFECTIVO,2019-11-07,12483,2000,51400,3. Calidad Alta,1,11000,8,53400
3394,EFECTIVO,2019-11-07,12483,850,24400,1. Calidad Simple,1,7520,8,25250
3413,EFECTIVO,2019-11-07,12483,2000,46800,3. Calidad Alta,1,10020,8,48800
3397,EFECTIVO,2019-11-08,11703,2000,44400,3. Calidad Alta,1,8200,5,46400
3397,EFECTIVO,2019-11-08,11703,2000,41600,3. Calidad Alta,1,7680,5,43600
3424,EFECTIVO,2019-11-08,12439,3000,108000,4. Calidad Premium,1,13150,7,111000
3424,EFECTIVO,2019-11-08,12439,3000,117800,4. Calidad Premium,1,14340,7,120800
3437,EFECTIVO,2019-11-08,12483,3000,118600,4. Calidad Premium,1,14440,8,121600
3437,EFECTIVO,2019-11-08,12483,1500,40700,2. Calidad Media,1,8370,8,42200
3439,EFECTIVO,2019-11-08,12438,3000,113200,4. Calidad Premium,1,13780,7,116200
3452,EFECTIVO,2019-11-08,10823,3000,113000,4. Calidad Premium,1,12680,2,116000
3469,EFECTIVO,2019-11-08,12483,2000,46100,3. Calidad Alta,1,10000,8,48100
3478,EFECTIVO,2019-11-08,12612,3000,112800,4. Calidad Premium,1,11070,9,115800
3478,EFECTIVO,2019-11-08,12612,3000,118400,4. Calidad Premium,1,11610,9,121400
3487,EFECTIVO,2019-11-08,10920,3000,105400,4. Calidad Premium,1,11930,2,108400
3495,EFECTIVO,2019-11-08,10927,2000,49500,3. Calidad Alta,1,7990,3,51500
3508,EFECTIVO,2019-11-08,11783,850,35400,1. Calidad Simple,1,9550,5,36250
3514,EFECTIVO,2019-11-08,12611,1500,32100,2. Calidad Media,1,6520,9,33600
3521,EFECTIVO,2019-11-08,12483,2000,51900,3. Calidad Alta,1,11260,8,53900
3526,EFECTIVO,2019-11-08,10927,1500,33600,2. Calidad Media,1,7450,3,35100
3530,EFECTIVO,2019-11-08,12438,2300,40800,3. Calidad Alta,1,7960,7,43100
3527,EFECTIVO,2019-11-08,12439,2000,49600,3. Calidad Alta,1,10760,7,51600
3562,EFECTIVO,2019-11-08,12612,3000,121100,4. Calidad Premium,1,11880,9,124100
3532,EFECTIVO,2019-11-08,10927,2000,36500,3. Calidad Alta,1,5890,3,38500
3532,EFECTIVO,2019-11-08,10927,2000,49000,3. Calidad Alta,1,7910,3,51000
3543,EFECTIVO,2019-11-08,12483,2000,62000,3. Calidad Alta,1,13450,8,64000
3546,EFECTIVO,2019-11-08,12483,1500,32200,2. Calidad Media,1,6620,8,33700
3546,EFECTIVO,2019-11-08,12483,1500,33500,2. Calidad Media,1,6890,8,35000
3548,EFECTIVO,2019-11-08,12483,2000,27600,3. Calidad Alta,1,5990,8,29600
3546,EFECTIVO,2019-11-08,12483,1500,26500,2. Calidad Media,1,5450,8,28000
3549,EFECTIVO,2019-11-08,12483,2000,35300,3. Calidad Alta,1,7660,8,37300
3679,EFECTIVO,2019-11-09,10927,850,23300,1. Calidad Simple,1,6130,3,24150
3685,EFECTIVO,2019-11-09,12481,2000,43500,3. Calidad Alta,1,8650,8,45500
3684,EFECTIVO,2019-11-09,12483,2000,82800,3. Calidad Alta,2,7780,8,43400
3688,EFECTIVO,2019-11-09,10927,2000,39200,3. Calidad Alta,1,6450,3,41200
3690,EFECTIVO,2019-11-09,10927,2000,35600,3. Calidad Alta,1,5860,3,37600
3696,EFECTIVO,2019-11-09,12481,2000,44100,3. Calidad Alta,1,8550,8,46100
3581,EFECTIVO,2019-11-09,11783,2000,48300,3. Calidad Alta,1,9230,5,50300
3587,EFECTIVO,2019-11-09,12439,2000,41400,3. Calidad Alta,1,9110,7,43400
3571,EFECTIVO,2019-11-09,12484,2000,42900,3. Calidad Alta,1,9440,8,44900
3573,EFECTIVO,2019-11-09,12438,2000,43200,3. Calidad Alta,1,9500,7,45200
3604,EFECTIVO,2019-11-09,12756,2000,47700,3. Calidad Alta,1,9110,11,49700
3612,EFECTIVO,2019-11-09,12438,2000,41600,3. Calidad Alta,1,9150,7,43600
3613,EFECTIVO,2019-11-09,12483,2000,37900,3. Calidad Alta,1,8340,8,39900
3619,EFECTIVO,2019-11-09,12484,2000,34100,3. Calidad Alta,1,7500,8,36100
3616,EFECTIVO,2019-11-09,10927,2000,47700,3. Calidad Alta,1,7850,3,49700
3619,EFECTIVO,2019-11-09,12484,2000,39400,3. Calidad Alta,1,8670,8,41400
3620,EFECTIVO,2019-11-09,12483,2000,36800,3. Calidad Alta,1,8090,8,38800
3623,EFECTIVO,2019-11-09,10823,3000,111900,4. Calidad Premium,1,12770,2,114900
3627,EFECTIVO,2019-11-09,11703,1500,24000,2. Calidad Media,1,5590,5,25500
3642,EFECTIVO,2019-11-09,12439,1500,36200,2. Calidad Media,1,7580,7,37700
3639,EFECTIVO,2019-11-09,10927,1500,27400,2. Calidad Media,1,6180,3,28900
3652,EFECTIVO,2019-11-09,12461,3000,123800,4. Calidad Premium,1,15300,8,126800
3655,EFECTIVO,2019-11-09,12438,3000,106100,4. Calidad Premium,1,13110,7,109100
3658,EFECTIVO,2019-11-09,12461,1500,35200,2. Calidad Media,1,7370,8,36700
3658,EFECTIVO,2019-11-09,12461,1500,109200,4. Calidad Premium,1,13010,8,110700
3661,EFECTIVO,2019-11-09,12481,2000,43600,3. Calidad Alta,1,8670,8,45600
3659,EFECTIVO,2019-11-09,12612,3000,109000,4. Calidad Premium,1,10800,9,112000
3661,EFECTIVO,2019-11-09,12481,2000,39800,3. Calidad Alta,1,7910,8,41800
3665,EFECTIVO,2019-11-09,10897,2000,101000,3. Calidad Alta,2,8210,2,52500
3663,EFECTIVO,2019-11-09,10897,2000,88600,3. Calidad Alta,2,7200,2,46300
3666,EFECTIVO,2019-11-09,10897,2000,80800,3. Calidad Alta,2,6570,2,42400
3747,EFECTIVO,2019-11-10,12331,2000,44800,3. Calidad Alta,1,8310,7,46800
3747,EFECTIVO,2019-11-10,12331,2000,44300,3. Calidad Alta,1,8210,7,46300
3748,EFECTIVO,2019-11-10,12612,2000,48500,3. Calidad Alta,1,9320,9,50500
3751,EFECTIVO,2019-11-10,12612,2000,49200,3. Calidad Alta,1,9460,9,51200
3720,EFECTIVO,2019-11-10,12756,2000,43800,3. Calidad Alta,1,8510,11,45800
3718,EFECTIVO,2019-11-10,10927,2000,44600,3. Calidad Alta,1,7620,3,46600
3697,EFECTIVO,2019-11-10,12756,3000,112200,4. Calidad Premium,1,11840,11,115200
3703,EFECTIVO,2019-11-10,12612,3000,126600,4. Calidad Premium,1,16590,9,129600
3796,EFECTIVO,2019-11-10,10927,2000,38500,3. Calidad Alta,1,6580,3,40500
3798,EFECTIVO,2019-11-10,12438,2000,50900,3. Calidad Alta,1,11200,7,52900
3707,EFECTIVO,2019-11-10,10927,1500,26000,2. Calidad Media,1,5870,3,27500
3804,EFECTIVO,2019-11-10,5114,4000,86200,3. Calidad Alta,2,7930,17,47100
3723,EFECTIVO,2019-11-10,12484,3000,118600,4. Calidad Premium,1,13710,8,121600
3754,EFECTIVO,2019-11-10,10823,2000,42100,3. Calidad Alta,1,7230,2,44100
3724,EFECTIVO,2019-11-10,12481,1500,35700,2. Calidad Media,1,6610,8,37200
3726,EFECTIVO,2019-11-10,12330,2000,37900,3. Calidad Alta,1,7280,7,39900
3754,EFECTIVO,2019-11-10,10823,1500,32400,2. Calidad Media,1,6530,2,33900
3726,EFECTIVO,2019-11-10,12330,2000,43600,3. Calidad Alta,1,8380,7,45600
3754,EFECTIVO,2019-11-10,10823,1500,32300,2. Calidad Media,1,6510,2,33800
3764,EFECTIVO,2019-11-10,12438,2000,49300,3. Calidad Alta,1,10840,7,51300
3732,EFECTIVO,2019-11-10,10823,2000,50700,3. Calidad Alta,1,8710,2,52700
3767,EFECTIVO,2019-11-10,12612,2000,27100,3. Calidad Alta,1,5210,9,29100
3772,EFECTIVO,2019-11-10,12438,2000,45100,3. Calidad Alta,1,9920,7,47100
3775,EFECTIVO,2019-11-10,12481,2000,37600,3. Calidad Alta,1,8270,8,39600
3776,EFECTIVO,2019-11-10,10920,2000,50500,3. Calidad Alta,1,8630,2,52500
3743,EFECTIVO,2019-11-10,10897,1500,39900,2. Calidad Media,1,8040,2,41400
3740,EFECTIVO,2019-11-10,10920,2000,52900,3. Calidad Alta,1,9040,2,54900
3785,EFECTIVO,2019-11-10,12438,2000,42600,3. Calidad Alta,1,9370,7,44600
3818,EFECTIVO,2019-11-10,10897,1500,34600,2. Calidad Media,1,6980,2,36100
3836,EFECTIVO,2019-11-10,12461,1500,25800,2. Calidad Media,1,5400,8,27300
3837,EFECTIVO,2019-11-10,5558,1500,31600,2. Calidad Media,1,7360,17,33100
3837,EFECTIVO,2019-11-10,5558,1500,33800,2. Calidad Media,1,7870,17,35300
3843,EFECTIVO,2019-11-11,12612,3000,120900,4. Calidad Premium,1,16070,9,123900
3847,EFECTIVO,2019-11-11,12461,2000,51800,3. Calidad Alta,1,11540,8,53800
3856,EFECTIVO,2019-11-11,12612,3000,128100,4. Calidad Premium,1,17030,9,131100
3868,EFECTIVO,2019-11-11,10823,2000,41300,3. Calidad Alta,1,7220,2,43300
3869,EFECTIVO,2019-11-11,12439,1500,30800,2. Calidad Media,1,5830,7,32300
3869,EFECTIVO,2019-11-11,12439,1500,45900,3. Calidad Alta,1,9400,7,47400
3873,EFECTIVO,2019-11-11,12438,2000,54000,3. Calidad Alta,1,12040,7,56000
3877,EFECTIVO,2019-11-11,12438,2000,45900,3. Calidad Alta,1,10230,7,47900
3878,EFECTIVO,2019-11-11,12484,2000,52400,3. Calidad Alta,1,10730,8,54400
3878,EFECTIVO,2019-11-11,12484,2000,46000,3. Calidad Alta,1,9420,8,48000
3883,EFECTIVO,2019-11-11,12481,2000,44000,3. Calidad Alta,1,9810,8,46000
3890,EFECTIVO,2019-11-11,12481,2000,39500,3. Calidad Alta,1,8800,8,41500
3898,EFECTIVO,2019-11-11,10927,2000,33400,3. Calidad Alta,1,5810,3,35400
3974,EFECTIVO,2019-11-11,12483,2000,43800,3. Calidad Alta,1,9760,8,45800
3975,EFECTIVO,2019-11-11,11783,3000,111100,4. Calidad Premium,1,8530,5,114100
3940,EFECTIVO,2019-11-11,5558,2000,40000,3. Calidad Alta,1,7900,17,42000
3941,EFECTIVO,2019-11-11,10823,2000,36600,3. Calidad Alta,1,6400,2,38600
3942,EFECTIVO,2019-11-11,10823,2000,46100,3. Calidad Alta,1,8060,2,48100
3900,EFECTIVO,2019-11-11,12483,3000,103600,4. Calidad Premium,1,11920,8,106600
3902,EFECTIVO,2019-11-11,10823,1500,43200,2. Calidad Media,1,8880,2,44700
3902,EFECTIVO,2019-11-11,10823,2000,51100,3. Calidad Alta,1,8930,2,53100
3925,EFECTIVO,2019-11-11,2867,2000,42200,3. Calidad Alta,1,7740,13,44200
3936,EFECTIVO,2019-11-11,10823,3000,113800,4. Calidad Premium,1,13410,2,116800
3953,EFECTIVO,2019-11-11,10897,2000,81800,3. Calidad Alta,2,6770,2,42900
3957,EFECTIVO,2019-11-11,11783,2000,33300,3. Calidad Alta,1,6580,5,35300
3964,EFECTIVO,2019-11-11,12483,2000,46300,3. Calidad Alta,1,10320,8,48300
3969,EFECTIVO,2019-11-11,12483,2000,44500,3. Calidad Alta,1,9920,8,46500
3985,EFECTIVO,2019-11-12,10927,1500,33100,2. Calidad Media,1,7730,3,34600
3985,EFECTIVO,2019-11-12,10927,2000,52100,3. Calidad Alta,1,9220,3,54100
3986,EFECTIVO,2019-11-12,12481,2000,45500,3. Calidad Alta,1,10270,8,47500
3986,EFECTIVO,2019-11-12,12481,2000,49500,3. Calidad Alta,1,11180,8,51500
4108,EFECTIVO,2019-11-12,12484,2000,42700,3. Calidad Alta,1,9640,8,44700
4109,EFECTIVO,2019-11-12,12481,1500,39000,2. Calidad Media,1,7540,8,40500
3991,EFECTIVO,2019-11-12,12612,2000,45900,3. Calidad Alta,1,8420,9,47900
3994,EFECTIVO,2019-11-12,12461,2000,34700,3. Calidad Alta,1,7840,8,36700
3997,EFECTIVO,2019-11-12,5114,2000,53500,3. Calidad Alta,1,10320,17,55500
3998,EFECTIVO,2019-11-12,12438,2000,42600,3. Calidad Alta,1,9620,7,44600
4001,EFECTIVO,2019-11-12,5114,2000,46400,3. Calidad Alta,1,8950,17,48400
4001,EFECTIVO,2019-11-12,5114,2000,42400,3. Calidad Alta,1,8180,17,44400
4034,EFECTIVO,2019-11-12,10823,2000,50800,3. Calidad Alta,1,9040,2,52800
4006,EFECTIVO,2019-11-12,12438,2000,46900,3. Calidad Alta,1,10590,7,48900
4013,EFECTIVO,2019-11-12,12438,1500,37800,2. Calidad Media,1,8220,7,39300
4047,EFECTIVO,2019-11-12,2867,3500,41500,2. Calidad Media,1,8180,13,45000
4047,EFECTIVO,2019-11-12,2867,3500,43700,3. Calidad Alta,1,8000,13,47200
4053,EFECTIVO,2019-11-12,12481,2000,38700,3. Calidad Alta,1,7930,8,40700
4053,EFECTIVO,2019-11-12,12483,2000,49100,3. Calidad Alta,1,11090,8,51100
4049,EFECTIVO,2019-11-12,12439,1500,35300,2. Calidad Media,1,6920,7,36800
4056,EFECTIVO,2019-11-12,10823,2000,31700,3. Calidad Alta,1,5640,2,33700
4056,EFECTIVO,2019-11-12,10823,2000,41800,3. Calidad Alta,1,7440,2,43800
4062,EFECTIVO,2019-11-12,12612,2000,40800,3. Calidad Alta,1,7810,9,42800
4026,EFECTIVO,2019-11-12,12612,3000,110800,4. Calidad Premium,1,14040,9,113800
4085,EFECTIVO,2019-11-12,11703,2000,36300,3. Calidad Alta,1,7170,5,38300
4037,EFECTIVO,2019-11-12,3136,2000,52400,3. Calidad Alta,1,10030,14,54400
4084,EFECTIVO,2019-11-12,5114,4000,80000,3. Calidad Alta,2,7470,17,44000
4039,EFECTIVO,2019-11-12,10927,2000,38100,3. Calidad Alta,1,6740,3,40100
4050,EFECTIVO,2019-11-12,10897,2000,37600,3. Calidad Alta,1,6690,2,39600
4090,EFECTIVO,2019-11-12,12481,1500,42200,2. Calidad Media,1,9170,8,43700
4090,EFECTIVO,2019-11-12,12481,2000,58900,3. Calidad Alta,1,13300,8,60900
4091,EFECTIVO,2019-11-12,5558,2000,48500,3. Calidad Alta,1,7510,17,50500
4052,EFECTIVO,2019-11-12,10823,1500,40400,2. Calidad Media,1,8310,2,41900
4054,EFECTIVO,2019-11-12,10918,1500,35400,2. Calidad Media,1,8260,2,36900
4059,EFECTIVO,2019-11-12,12612,2000,40500,3. Calidad Alta,1,7660,9,42500
4094,EFECTIVO,2019-11-12,12440,2000,45300,3. Calidad Alta,1,8190,8,47300
4058,EFECTIVO,2019-11-12,10823,2000,41200,3. Calidad Alta,1,7330,2,43200
4064,EFECTIVO,2019-11-12,12494,2000,41700,3. Calidad Alta,1,8540,8,43700
4064,EFECTIVO,2019-11-12,12494,2000,43500,3. Calidad Alta,1,8910,8,45500
4070,EFECTIVO,2019-11-12,12484,1500,39000,2. Calidad Media,1,7640,8,40500
4070,EFECTIVO,2019-11-12,12484,1500,23700,1. Calidad Simple,1,6480,8,25200
4074,EFECTIVO,2019-11-12,11783,2000,34000,3. Calidad Alta,1,6710,5,36000
4111,EFECTIVO,2019-11-12,10927,2000,48400,3. Calidad Alta,1,8570,3,50400
4111,EFECTIVO,2019-11-12,10927,1500,48900,2. Calidad Media,1,11420,3,50400
4087,EFECTIVO,2019-11-12,10927,1500,38700,2. Calidad Media,1,9040,3,40200
4113,EFECTIVO,2019-11-12,3880,2000,89000,3. Calidad Alta,2,8120,15,46500
4115,EFECTIVO,2019-11-12,11703,2000,50200,3. Calidad Alta,1,9910,5,52200
4115,EFECTIVO,2019-11-12,11703,2000,39000,3. Calidad Alta,1,7700,5,41000
4116,EFECTIVO,2019-11-12,5558,1500,30400,2. Calidad Media,1,7200,17,31900
4117,EFECTIVO,2019-11-12,12481,1500,39400,2. Calidad Media,1,8570,8,40900
4130,EFECTIVO,2019-11-13,10927,3000,119900,4. Calidad Premium,1,14690,3,122900
4132,EFECTIVO,2019-11-13,12484,1500,38700,2. Calidad Media,1,8570,8,40200
4138,EFECTIVO,2019-11-13,11783,2000,29900,3. Calidad Alta,1,5900,5,31900
4136,EFECTIVO,2019-11-13,11783,2000,38000,3. Calidad Alta,1,7500,5,40000
4138,EFECTIVO,2019-11-13,11783,2000,28700,3. Calidad Alta,1,5670,5,30700
4144,EFECTIVO,2019-11-13,11703,1500,30100,2. Calidad Media,1,7130,5,31600
4148,EFECTIVO,2019-11-13,10918,2000,51400,3. Calidad Alta,1,9260,2,53400
4150,EFECTIVO,2019-11-13,12439,3000,127000,4. Calidad Premium,1,16530,7,130000
4150,EFECTIVO,2019-11-13,12439,850,29100,1. Calidad Simple,1,9160,7,29950
4151,EFECTIVO,2019-11-13,12484,2000,36700,3. Calidad Alta,1,8290,8,38700
4164,EFECTIVO,2019-11-13,12611,2000,43400,3. Calidad Alta,1,8310,9,45400
4159,EFECTIVO,2019-11-13,12756,2000,39500,3. Calidad Alta,1,7800,11,41500
4170,EFECTIVO,2019-11-13,10927,2000,33400,3. Calidad Alta,1,6020,3,35400
4180,EFECTIVO,2019-11-13,10823,2000,45100,3. Calidad Alta,1,8020,2,47100
4176,EFECTIVO,2019-11-13,3880,1500,34000,2. Calidad Media,1,7640,15,35500
4179,EFECTIVO,2019-11-13,10927,2000,46900,3. Calidad Alta,1,8450,3,48900
4185,EFECTIVO,2019-11-13,10927,2000,40000,3. Calidad Alta,1,7200,3,42000
4182,EFECTIVO,2019-11-13,12484,2000,50500,3. Calidad Alta,1,11400,8,52500
4183,EFECTIVO,2019-11-13,12484,1500,47900,2. Calidad Media,1,10600,8,49400
3679,EFECTIVO,2019-11-13,10927,2000,38900,3. Calidad Alta,1,7010,3,40900
4188,EFECTIVO,2019-11-13,12494,1500,38300,2. Calidad Media,1,7660,8,39800
4188,EFECTIVO,2019-11-13,12494,1500,107400,3. Calidad Alta,2,11000,8,55200
4188,EFECTIVO,2019-11-13,12494,1500,53800,3. Calidad Alta,1,11170,8,55300
4188,EFECTIVO,2019-11-13,12494,1500,54600,3. Calidad Alta,1,11330,8,56100
4192,EFECTIVO,2019-11-13,10922,1500,29700,2. Calidad Media,1,6930,3,31200
4192,EFECTIVO,2019-11-13,10922,1500,24400,2. Calidad Media,1,5700,3,25900
